"op","ctrl","mass","form","mod","rad","ref","thk"
"large sample","A",31,"alpha","none",26.035,"ss304",1.27
"small sample","A",24,"alpha","none",9.525,"ss304",1.905
"large sample","A",28,"alpha","none",19.05,"mgo",0.635
"small sample","A",65,"alpha","none",2.54,"ss304",2.54
"large sample","A",65,"alpha","none",12.7,"ch2",1.27
"large sample","A",1,"alpha","none",16.51,"ch2",3.175
"small sample","A",18,"alpha","none",19.05,"ch2",4.445
"small sample","A",33,"alpha","none",6.35,"ch2",1.27
"machining","M",41,"alpha","none",19.685,"du",0.635
"large sample","A",65,"alpha","none",3.175,"ch2",1.27
"small sample","A",36,"alpha","mgo",1.27,"ch2",1.27
"solution","A",14,"alpha","ch2",5.715,"ch2",1.905
"large sample","A",38,"alpha","none",1.27,"ch2",3.175
"large sample","A",16,"alpha","none",12.7,"ss304",0.635
"large sample","M",166,"alpha","none",10.795,"ch2",1.27
"small sample","A",13,"alpha","none",0.635,"ch2",0.635
"solution","A",6,"alpha","none",12.7,"ch2",0.635
"large sample","A",65,"alpha","mgo",8.255,"ss304",0.635
"metallurgy","A",36,"alpha","none",24.765,"ch2",1.905
"small sample","A",36,"alpha","none",3.175,"ch2",0.635
"large sample","D",52,"alpha","none",8.255,"mgo",1.27
"small sample","A",65,"alpha","none",17.78,"ch2",0.635
"large sample","A",23,"alpha","none",8.255,"ss304",0.635
"small sample","A",17,"alpha","none",12.7,"ch2",1.27
"large sample","E",121,"alpha","none",1.905,"ss304",0.635
"small sample","A",1,"alpha","ch2",3.81,"ss304",0.635
"solution","A",2,"alpha","none",5.08,"pb",0.635
"large sample","M",123,"alpha","none",8.255,"ch2",0.635
"small sample","A",36,"alpha","none",4.445,"al",1.27
"large sample","D",2,"alpha","ch2",17.145,"ss304",0.635
"metallurgy","A",11,"alpha","none",10.16,"ch2",1.27
"machining","A",25,"alpha","none",10.795,"ch2",3.175
"large sample","D",179,"alpha","none",3.175,"mgo",0.635
"small sample","A",12,"alpha","none",10.16,"ch2",0.635
"metallurgy","A",48,"alpha","mgo",9.525,"ch2",0.635
"small sample","A",44,"alpha","ch2",8.255,"ch2",0.635
"large sample","A",26,"alpha","none",6.35,"ch2",1.905
"small sample","A",5,"alpha","none",5.08,"ch2",0.635
"small sample","A",32,"alpha","none",8.255,"ch2",0.635
"large sample","A",26,"alpha","ch2",13.97,"ss304",1.905
"large sample","D",206,"alpha","none",5.08,"mgo",0.635
"large sample","D",76,"alpha","mgo",4.445,"mgo",0.635
"solution","A",2,"alpha","ch2",5.715,"ch2",1.27
"large sample","A",42,"alpha","none",8.89,"ss304",1.27
"small sample","A",52,"alpha","none",10.795,"ch2",0.635
"large sample","A",38,"alpha","mgo",4.445,"mgo",1.27
"small sample","A",33,"alpha","ch2",3.81,"ch2",0.635
"metallurgy","E",32,"alpha","none",1.27,"mgo",0.635
"large sample","A",26,"alpha","none",5.08,"ss304",1.905
"metallurgy","A",13,"alpha","none",8.255,"ch2",1.27
"machining","M",39,"alpha","ch2",1.905,"ch2",0.635
"machining","M",6,"alpha","none",4.445,"du",0.635
"small sample","A",37,"alpha","none",12.065,"ch2",1.27
