"mass","form","mod","rad","ref","thk","shape","ht","vol","conc","hd","keff","sd"
0,"alpha","h2o",2.54,"h2o",2.54,"sph",5.08,68.64197317,0,1,0,0
0,"alpha","h2o",2.54,"h2o",5.08,"sph",5.08,68.64197317,0,1,0,0
0,"alpha","h2o",2.54,"h2o",7.62,"sph",5.08,68.64197317,0,1,0,0
0,"alpha","h2o",2.54,"h2o",10.16,"sph",5.08,68.64197317,0,1,0,0
0,"alpha","h2o",2.54,"h2o",12.7,"sph",5.08,68.64197317,0,1,0,0
0,"alpha","h2o",2.54,"h2o",15.24,"sph",5.08,68.64197317,0,1,0,0
0,"alpha","h2o",5.08,"h2o",2.54,"sph",10.16,549.1357853,0,1,0,0
0,"alpha","h2o",5.08,"h2o",5.08,"sph",10.16,549.1357853,0,1,0,0
0,"alpha","h2o",5.08,"h2o",7.62,"sph",10.16,549.1357853,0,1,0,0
0,"alpha","h2o",5.08,"h2o",10.16,"sph",10.16,549.1357853,0,1,0,0
0,"alpha","h2o",5.08,"h2o",12.7,"sph",10.16,549.1357853,0,1,0,0
0,"alpha","h2o",5.08,"h2o",15.24,"sph",10.16,549.1357853,0,1,0,0
0,"alpha","h2o",7.62,"h2o",2.54,"sph",15.24,1853.333276,0,1,0,0
0,"alpha","h2o",7.62,"h2o",5.08,"sph",15.24,1853.333276,0,1,0,0
0,"alpha","h2o",7.62,"h2o",7.62,"sph",15.24,1853.333276,0,1,0,0
0,"alpha","h2o",7.62,"h2o",10.16,"sph",15.24,1853.333276,0,1,0,0
0,"alpha","h2o",7.62,"h2o",12.7,"sph",15.24,1853.333276,0,1,0,0
0,"alpha","h2o",7.62,"h2o",15.24,"sph",15.24,1853.333276,0,1,0,0
0,"alpha","h2o",10.16,"h2o",2.54,"sph",20.32,4393.086283,0,1,0,0
0,"alpha","h2o",10.16,"h2o",5.08,"sph",20.32,4393.086283,0,1,0,0
0,"alpha","h2o",10.16,"h2o",7.62,"sph",20.32,4393.086283,0,1,0,0
0,"alpha","h2o",10.16,"h2o",10.16,"sph",20.32,4393.086283,0,1,0,0
0,"alpha","h2o",10.16,"h2o",12.7,"sph",20.32,4393.086283,0,1,0,0
0,"alpha","h2o",10.16,"h2o",15.24,"sph",20.32,4393.086283,0,1,0,0
0,"alpha","h2o",12.7,"h2o",2.54,"sph",25.4,8580.246646,0,1,0,0
0,"alpha","h2o",12.7,"h2o",5.08,"sph",25.4,8580.246646,0,1,0,0
0,"alpha","h2o",12.7,"h2o",7.62,"sph",25.4,8580.246646,0,1,0,0
0,"alpha","h2o",12.7,"h2o",10.16,"sph",25.4,8580.246646,0,1,0,0
0,"alpha","h2o",12.7,"h2o",12.7,"sph",25.4,8580.246646,0,1,0,0
0,"alpha","h2o",12.7,"h2o",15.24,"sph",25.4,8580.246646,0,1,0,0
0,"alpha","h2o",15.24,"h2o",2.54,"sph",30.48,14826.6662,0,1,0,0
0,"alpha","h2o",15.24,"h2o",5.08,"sph",30.48,14826.6662,0,1,0,0
0,"alpha","h2o",15.24,"h2o",7.62,"sph",30.48,14826.6662,0,1,0,0
0,"alpha","h2o",15.24,"h2o",10.16,"sph",30.48,14826.6662,0,1,0,0
0,"alpha","h2o",15.24,"h2o",12.7,"sph",30.48,14826.6662,0,1,0,0
0,"alpha","h2o",15.24,"h2o",15.24,"sph",30.48,14826.6662,0,1,0,0
0,"alpha","h2o",17.78,"h2o",2.54,"sph",35.56,23544.1968,0,1,0,0
0,"alpha","h2o",17.78,"h2o",5.08,"sph",35.56,23544.1968,0,1,0,0
0,"alpha","h2o",17.78,"h2o",7.62,"sph",35.56,23544.1968,0,1,0,0
0,"alpha","h2o",17.78,"h2o",10.16,"sph",35.56,23544.1968,0,1,0,0
0,"alpha","h2o",17.78,"h2o",12.7,"sph",35.56,23544.1968,0,1,0,0
0,"alpha","h2o",17.78,"h2o",15.24,"sph",35.56,23544.1968,0,1,0,0
0,"alpha","h2o",20.32,"h2o",2.54,"sph",40.64,35144.69026,0,1,0,0
0,"alpha","h2o",20.32,"h2o",5.08,"sph",40.64,35144.69026,0,1,0,0
0,"alpha","h2o",20.32,"h2o",7.62,"sph",40.64,35144.69026,0,1,0,0
0,"alpha","h2o",20.32,"h2o",10.16,"sph",40.64,35144.69026,0,1,0,0
0,"alpha","h2o",20.32,"h2o",12.7,"sph",40.64,35144.69026,0,1,0,0
0,"alpha","h2o",20.32,"h2o",15.24,"sph",40.64,35144.69026,0,1,0,0
0,"alpha","h2o",22.86,"h2o",2.54,"sph",45.72,50039.99844,0,1,0,0
0,"alpha","h2o",22.86,"h2o",5.08,"sph",45.72,50039.99844,0,1,0,0
0,"alpha","h2o",22.86,"h2o",7.62,"sph",45.72,50039.99844,0,1,0,0
0,"alpha","h2o",22.86,"h2o",10.16,"sph",45.72,50039.99844,0,1,0,0
0,"alpha","h2o",22.86,"h2o",12.7,"sph",45.72,50039.99844,0,1,0,0
0,"alpha","h2o",22.86,"h2o",15.24,"sph",45.72,50039.99844,0,1,0,0
0,"alpha","h2o",25.4,"h2o",2.54,"sph",50.8,68641.97317,0,1,0,0
0,"alpha","h2o",25.4,"h2o",5.08,"sph",50.8,68641.97317,0,1,0,0
0,"alpha","h2o",25.4,"h2o",7.62,"sph",50.8,68641.97317,0,1,0,0
0,"alpha","h2o",25.4,"h2o",10.16,"sph",50.8,68641.97317,0,1,0,0
0,"alpha","h2o",25.4,"h2o",12.7,"sph",50.8,68641.97317,0,1,0,0
0,"alpha","h2o",25.4,"h2o",15.24,"sph",50.8,68641.97317,0,1,0,0
0,"alpha","h2o",27.94,"h2o",2.54,"sph",55.88,91362.46629,0,1,0,0
0,"alpha","h2o",27.94,"h2o",5.08,"sph",55.88,91362.46629,0,1,0,0
