layer,col,row,rho_rf,rho_lf,rho_clad
1,1,2,17.8777,17.8321,7.2707
1,1,4,17.8777,17.8321,7.2707
1,2,1,20.8096,20.5359,7.1758
1,2,3,19.0608,19.1672,7.1241
1,3,2,17.8016,17.9233,7.3468
1,3,4,17.8016,17.9233,7.3468
1,4,1,20.7336,21.053,7.2137
1,4,3,19.0,19.0,7.3137
1,5,2,17.8168,17.9537,7.4744
1,5,4,17.8168,17.9537,7.4744
1,6,1,17.5583,17.4671,7.2707
1,6,3,19.1977,19.0182,7.7475
1,7,2,20.1405,20.4142,7.2707
1,7,4,20.1405,20.4142,7.2707
1,8,3,19.3497,18.7445,7.2923
2,1,1,18.0297,17.9537,7.2882
2,1,3,17.8777,18.0602,7.4365
2,2,2,18.4708,18.3491,7.2365
2,2,4,18.4708,18.3491,7.2365
2,3,1,18.638,17.3606,7.3537
2,3,3,18.0754,18.0145,7.402
2,4,2,18.4555,18.4099,7.2261
2,4,4,18.4555,18.4099,7.2261
2,5,1,17.8625,17.9385,7.3985
2,5,3,17.9385,17.9537,7.171
2,6,2,18.3947,18.3339,7.2707
2,6,4,18.3947,18.3339,7.2707
2,7,1,18.0297,17.9993,7.3468
2,7,3,17.6648,17.8321,7.2707
2,8,2,18.1666,18.1058,7.2707
2,8,4,18.1666,18.1058,7.2707
3,1,2,18.2883,18.1514,7.3227
3,1,4,18.2883,18.1514,7.3227
3,2,1,18.1362,18.2122,7.3434
3,2,3,17.8016,17.7256,7.2707
3,3,2,17.8016,18.6989,7.2707
3,3,4,17.8016,18.6989,7.2707
3,4,1,17.9689,18.1362,7.1227
3,4,3,18.2579,18.121,7.1986
3,5,2,17.8168,19.0152,7.3027
3,5,4,17.8168,19.0152,7.3027
3,6,1,18.1514,18.2274,7.1296
3,6,3,18.1362,18.0145,7.2707
3,7,2,18.5316,18.2731,7.2707
3,7,4,18.5316,18.2731,7.2707
3,8,1,17.8321,18.1666,7.3537
3,8,3,17.8473,17.8777,7.2707
4,1,1,18.927,21.0377,7.1441
4,1,3,19.7755,19.6843,7.2707
4,2,2,18.1514,19.517,7.2707
4,2,4,18.1514,19.517,7.2707
4,3,1,18.8509,20.4295,7.0924
4,3,3,19.6387,19.6387,7.231
4,4,2,18.6076,19.3041,7.3337
4,4,4,18.6076,19.3041,7.3337
4,5,1,19.7147,19.4714,7.3896
4,5,3,19.7147,19.6691,7.3448
4,6,2,18.8966,18.7749,7.2707
4,6,4,18.8966,18.7749,7.2707
4,7,1,19.441,19.8212,7.3723
4,7,3,19.6843,19.6539,6.9414
4,8,2,19.0912,19.0912,7.0655
4,8,4,19.0912,19.0912,7.0655
5,1,2,17.2694,17.2846,7.4054
5,1,4,17.2694,17.2846,7.4054
5,2,1,19.2889,19.7907,7.2068
5,2,3,17.2238,17.315,7.4089
5,3,2,18.7141,18.7597,7.2261
5,3,4,18.7141,18.7597,7.2261
5,4,1,18.6544,18.6072,7.2896
5,4,3,18.9574,19.7299,7.2707
5,5,2,19.7147,17.8777,7.4061
5,5,4,19.7147,17.8777,7.4061
5,6,1,19.5626,19.3193,7.0448
5,6,3,19.5931,19.4714,7.2792
5,7,2,18.7445,19.1368,7.2707
5,7,4,18.7445,19.1368,7.2707
5,8,1,19.9124,19.8972,7.0413
5,8,3,19.8212,19.958,7.2707
6,1,1,17.8625,18.0602,7.2707
6,1,3,18.0297,17.7864,7.2707
6,2,2,18.5164,19.4866,7.1751
6,2,4,18.5164,19.4866,7.1751
6,3,1,17.8777,18.4403,7.1434
6,3,3,18.0602,17.9689,7.14
6,4,2,19.2585,17.9993,7.0682
6,4,4,19.2585,17.9993,7.0682
6,5,1,18.1514,18.1058,7.2261
6,5,3,18.0602,17.8777,7.2707
6,6,2,18.121,18.9878,7.102
6,6,4,18.121,18.9878,7.102
6,7,1,18.2426,18.1058,7.2744
6,7,3,17.9081,17.8929,7.2707
6,8,2,18.0145,18.2579,7.4985
6,8,4,18.0145,18.2579,7.4985
7,1,2,18.3613,18.0906,7.251
7,1,4,18.3613,18.0906,7.251
7,2,1,17.9537,18.2426,7.2399
7,2,3,17.9385,18.4251,7.4089
7,3,2,18.486,18.6228,7.7226
7,3,4,18.486,18.6228,7.7226
7,4,1,17.9537,18.3947,7.2055
7,4,3,18.0602,18.0297,7.2707
7,5,2,17.7864,19.3345,7.2707
7,5,4,17.7864,19.3345,7.2707
7,6,1,18.1666,18.2122,7.2675
7,6,3,18.0602,17.9841,7.2707
7,7,2,18.6837,18.2731,7.4123
7,7,4,18.6837,18.2731,7.4123
7,8,1,18.0145,18.0754,7.2707
7,8,3,18.0297,17.9081,7.2707
8,1,1,19.7451,19.8212,7.3723
8,1,3,19.958,19.7907,7.262
8,2,2,18.5772,18.5468,7.2707
8,2,4,18.5772,18.5468,7.2707
8,3,1,19.1977,19.4106,7.0379
8,3,3,19.441,19.2281,7.0241
8,4,2,18.9422,18.6228,7.3434
8,4,4,18.9422,18.6228,7.3434
