"op","ctrl","mass","form","mod","rad","ref","thk"
"large sample","A",31,"alpha","h2o",26.035,"h2o",1.27
"small sample","A",24,"alpha","h2o",9.525,"h2o",1.905
"large sample","A",28,"alpha","h2o",19.05,"h2o",0.635
"small sample","A",65,"alpha","h2o",2.54,"h2o",2.54
"large sample","A",65,"alpha","h2o",12.7,"h2o",1.27
"large sample","A",1,"alpha","h2o",16.51,"h2o",3.175
"small sample","A",18,"alpha","h2o",19.05,"h2o",4.445
"small sample","A",33,"alpha","h2o",6.35,"h2o",1.27
"machining","M",41,"alpha","h2o",19.685,"h2o",0.635
"large sample","A",65,"alpha","h2o",3.175,"h2o",1.27
"small sample","A",36,"alpha","h2o",1.27,"h2o",1.27
"solution","A",14,"alpha","h2o",5.715,"h2o",1.905
"large sample","A",38,"alpha","h2o",1.27,"h2o",3.175
"large sample","A",16,"alpha","h2o",12.7,"h2o",0.635
"large sample","M",166,"alpha","h2o",10.795,"h2o",1.27
"small sample","A",13,"alpha","h2o",0.635,"h2o",0.635
"solution","A",6,"alpha","h2o",12.7,"h2o",0.635
"large sample","A",65,"alpha","h2o",8.255,"h2o",0.635
"metallurgy","A",36,"alpha","h2o",24.765,"h2o",1.905
"small sample","A",36,"alpha","h2o",3.175,"h2o",0.635
"large sample","D",52,"alpha","h2o",8.255,"h2o",1.27
"small sample","A",65,"alpha","h2o",17.78,"h2o",0.635
"large sample","A",23,"alpha","h2o",8.255,"h2o",0.635
"small sample","A",17,"alpha","h2o",12.7,"h2o",1.27
"large sample","E",121,"alpha","h2o",1.905,"h2o",0.635
"small sample","A",1,"alpha","h2o",3.81,"h2o",0.635
"solution","A",2,"alpha","h2o",5.08,"h2o",0.635
"large sample","M",123,"alpha","h2o",8.255,"h2o",0.635
"small sample","A",36,"alpha","h2o",4.445,"h2o",1.27
"large sample","D",2,"alpha","h2o",17.145,"h2o",0.635
"metallurgy","A",11,"alpha","h2o",10.16,"h2o",1.27
"machining","A",25,"alpha","h2o",10.795,"h2o",3.175
